Time_Sec,Distance_Est,BB_Area,v_x,v_z,omega_z
9.072505474090576,0.9002399346636439,208222.296875,0.45687850947153996,0.2556779056512597,-0.53125
9.134785890579224,0.9037973283462283,206586.375,0.3983342329023718,0.2932470380370142,-0.546875
9.191882371902466,0.892331285835333,211929.5625,0.35040403526442876,0.3287296682298629,-0.5546875
9.24686074256897,0.863217648983968,226466.078125,0.30295081007523106,0.37668327563830367,-0.5515625
9.52668285369873,0.9380420423044392,191778.171875,0.5908732333333333,0.3705425030547464,-0.334375
9.589511394500732,0.9294589360630098,195336.484375,0.5832821666666667,0.3643582883388773,-0.3
9.708879947662354,0.9046322464895393,206205.21875,0.5600955333333333,0.3541354417308462,-0.234375
9.765848636627197,0.9569938707258946,184257.625,0.6069170666666667,0.31195892487261834,-0.2046875
9.827810049057007,1.0101228635624864,165384.71875,0.6471792666666667,0.2661627089139976,-0.1703125
9.892353296279907,1.0382465891448758,156546.28125,0.6660346,0.23414154258150377,-0.153125
9.950226068496704,1.080607580329374,144513.28125,0.691705,0.15535869792587365,-0.15625
10.009659051895142,1.065909825314933,148526.125,0.6831442666666667,0.10680206773088724,-0.1734375
10.069613695144653,1.0864468226295168,142964.046875,0.6950100333333333,0.08455884027528726,-0.1765625
10.132556200027466,1.1029581966414845,138715.71875,0.7040731333333333,0.09431624870269081,-0.1609375
10.192869424819946,1.0913134628911847,141691.8125,0.6977241333333334,0.12387858734078838,-0.14375
10.250967502593994,1.0939131292778772,141019.15625,0.6991591333333333,0.1382509811106299,-0.125
10.308034896850586,1.095505552067056,140609.484375,0.7000331,0.15491764777729655,-0.1
10.364575386047363,1.0942573960597834,140930.4375,0.6993484,0.16680500877973747,-0.0796875
10.421792030334473,1.061668350681534,149715.25,0.6806074666666667,0.1751383421130708,-0.053125
10.482374429702759,1.0438984833450213,154855.71875,0.6696411333333333,0.16609204015860202,-0.0390625
10.540380477905273,1.054717973897326,151694.9375,0.6763841333333334,0.153592040158602,-0.034375
10.600152969360352,1.0472852352221234,153855.78125,0.6717743333333334,0.1425557086648541,-0.0359375
10.660847187042236,1.0579173299678097,150778.8125,0.6783385333333334,0.1113786772132747,-0.03125
10.71747374534607,1.0817511238283395,144207.90625,0.6923564666666666,0.09054534387994137,0
10.774791955947876,1.0724959556169982,146707.546875,0.6870239,0.06133029509579406,0
10.835662364959717,1.0800843557221484,144653.328125,0.6914062333333333,0.05924696176246073,0
10.897913217544556,1.0815727183595274,144255.484375,0.6922549666666666,0.04857697851735792,0
