Time_Sec,GPU_Util_%,GPU_Freq_MHz,CPU_Util_%,RAM_Usage_%,Power_TOT_mW
1.0,0,306,11.7,0.36565982729738605,4776
2.0,0,306,7.8,0.3656587816288588,4697
3.0,0,306,7.5,0.3658156319079477,4617
4.0,0,306,5.5,0.36581667757647496,4577
5.0,0,306,8.0,0.3658454334609746,4617
6.0,0,306,5.5,0.36578269334933905,4577
7.0,0,306,9.5,0.36576909965848464,4776
8.0,0,306,7.8,0.3657100193866945,4657
9.0,0,306,5.8,0.36567185248544953,4577
10.0,0,306,6.7,0.36580883506252054,4617
11.0,0,306,5.7,0.3657068823811127,4538
12.0,0,306,29.5,0.37147949548584897,5603
13.0,0,306,24.5,0.3841320846656893,5564
14.0,0,306,22.3,0.38890137881852005,5603
15.0,0,306,23.7,0.3942698410374705,5643
16.0,0,306,17.7,0.3976651267454822,5206
17.0,0,306,22.3,0.4389172729801344,5762
18.0,0,306,22.2,0.49643740732762676,5762
19.0,0,306,21.0,0.5549242622285706,5683
20.0,0,408,18.0,0.604013694075033,5683
21.0,0,408,18.8,0.6935182145000763,5802
22.1,0,408,23.7,0.7598475833554666,6239
23.1,0,408,23.7,0.7607703858307732,7948
24.1,0,408,21.8,0.7610485336590243,8055
25.1,0,408,22.0,0.7611666942026045,8134
26.1,0,408,23.3,0.7612461650106763,8094
27.1,0,408,21.5,0.7610464423219697,8068
28.1,0,408,24.2,0.761396218444338,8028
29.1,0,408,23.8,0.7614343853455829,7909
30.1,0,408,22.7,0.7616027379784718,7909
31.1,0,408,24.3,0.7615363380269908,7909
32.1,0,408,21.0,0.7615358151927272,7909
33.1,0,408,25.3,0.7614688924069826,8015
34.1,0,408,23.2,0.7615990781386264,7975
35.1,0,408,25.0,0.7615818246079266,7936
36.1,0,408,24.7,0.7615253585074546,7909
37.1,0,408,24.3,0.7615044451369094,7869
38.1,0,408,23.5,0.7613648483885203,8015
39.1,0,408,25.3,0.761482486097837,7975
40.1,0,408,23.5,0.7613841932562745,7948
41.1,0,408,26.0,0.7613590972116203,7948
42.1,0,408,21.3,0.761281717740603,7909
43.1,0,408,23.0,0.7614171318148832,7869
44.1,0,408,26.7,0.761482486097837,7948
45.1,0,408,24.8,0.761571367922654,7936
46.1,0,408,26.0,0.7614971254572186,7988
47.1,0,408,24.5,0.7615290183473,7936
48.1,0,408,22.7,0.7615750277624994,8028
49.1,0,408,26.2,0.7616456103880894,7948
50.1,0,408,24.8,0.7617020764885615,7975
51.1,0,408,23.8,0.7616612954159984,8055
52.1,0,408,24.5,0.761595418298781,7909
53.1,0,408,23.7,0.7616623410845256,7869
54.1,0,408,25.8,0.7617235126933702,7948
55.1,0,408,23.0,0.7617883441420603,7948
56.1,0,408,24.8,0.7617073048311978,7975
57.1,0,408,25.8,0.7617005079857705,8134
58.1,0,408,23.2,0.7618008921643875,7948
59.1,0,408,25.8,0.761982315653867,8015
60.1,0,408,23.0,0.7619305550617677,7936
61.1,0,408,31.0,0.7573777142940796,8293
62.1,0,408,28.2,0.7572851726294172,7988
63.1,0,408,23.3,0.7575350874074321,7869
64.1,0,408,24.7,0.7577463124499386,8055
65.1,0,408,23.2,0.7576291975748856,7909
66.1,0,408,24.7,0.7575314275675867,7869
67.1,0,408,26.5,0.7577363785989296,8068
68.2,0,408,23.2,0.7577593833065294,7936
69.2,0,408,23.8,0.7578561076453009,7909
70.2,0,408,26.5,0.7579136194143001,7948
71.2,0,408,24.2,0.7578074840587833,7948
72.2,0,408,26.2,0.7578242147552194,7988
73.2,0,408,23.2,0.7578927060437549,7909
74.2,0,408,23.2,0.758038053969044,7988
75.2,0,408,26.7,0.7579387154589544,8134
76.2,0,408,24.3,0.758029688620826,8174
77.2,0,408,23.0,0.7579444666358544,8134
78.2,0,408,23.5,0.7579789736972539,8055
79.2,0,408,22.8,0.7582790805645774,7193
80.2,0,408,28.0,0.7559974318380971,6041
81.2,0,408,15.7,0.7469184148501662,5444
82.2,0,408,25.3,0.36224153688177463,5723
