Frame_Number,Time_Sec,Processing_Time_ms,FPS,Object_ID,Bbox_X,Bbox_Y,A_real,Distance_Est,v_x,v_z,omega_z,current_pitch_rad,Pipeline_Latency_ms
67,8.793,30.2,28.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
68,8.829,30.0,27.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
69,8.865,29.9,28.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
70,8.9,29.4,28.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
71,8.935,29.5,28.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
72,8.971,29.4,28.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
73,9.006,30.0,28.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
74,9.041,29.8,28.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
75,9.077,29.4,28.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
76,9.112,29.4,28.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
77,9.147,30.0,28.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
78,9.183,30.1,28.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
79,9.218,29.8,27.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
80,9.254,29.7,27.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
81,9.29,29.7,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
82,9.326,29.7,28.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
83,9.361,29.8,28.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
84,9.397,30.2,27.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
85,9.433,30.7,27.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
86,9.47,29.8,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
87,9.505,29.4,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
88,9.54,29.3,28.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
89,9.575,29.4,28.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
90,9.61,29.4,28.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
91,9.645,29.4,28.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
92,9.68,30.0,28.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
93,9.716,29.4,27.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
94,9.751,29.8,28.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
95,9.787,29.6,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
96,9.822,29.4,28.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
97,9.857,29.4,28.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
98,9.892,29.3,28.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
99,9.927,30.1,28.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
100,9.963,29.5,27.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
101,9.998,29.4,28.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
102,10.033,29.5,28.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
103,10.068,29.5,28.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
104,10.104,30.0,28.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
105,10.14,30.0,27.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
106,10.175,29.5,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
107,10.211,30.1,28.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
108,10.246,30.0,27.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
109,10.282,30.2,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
110,10.318,31.2,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
111,10.355,30.1,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
112,10.392,31.2,27.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
113,10.429,30.5,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
114,10.465,29.8,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
115,10.5,30.9,28.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
116,10.537,30.1,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
117,10.572,29.6,28.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
118,10.607,30.1,28.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
119,10.643,29.5,27.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
120,10.678,29.7,28.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
121,10.714,30.2,28.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
122,10.75,30.3,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
123,10.786,30.0,27.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
124,10.822,30.0,27.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
125,10.858,30.8,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
126,10.895,29.7,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
127,10.93,29.9,28.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
128,10.965,29.4,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
129,11.001,29.6,28.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
130,11.036,29.7,28.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
131,11.072,29.6,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
132,11.107,29.7,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
133,11.143,29.6,28.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
134,11.178,29.9,28.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
135,11.214,29.7,27.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
136,11.249,29.7,28.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
137,11.284,29.6,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
138,11.32,29.7,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
139,11.356,30.9,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
140,11.393,30.4,26.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
141,11.43,29.9,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
142,11.465,30.2,28.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
143,11.501,29.6,27.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
144,11.537,30.1,28.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
145,11.573,29.8,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
146,11.609,30.5,27.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
147,11.645,30.4,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
148,11.682,29.9,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
149,11.718,30.1,27.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
150,11.754,30.0,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
151,11.79,30.6,27.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
152,11.826,30.2,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
153,11.862,29.8,28.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
154,11.898,29.8,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
155,11.933,29.5,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
156,11.969,29.8,27.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
157,12.005,31.4,28.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
158,12.041,34.1,27.1,1,855,680,213609.86,0.8888,0.3797,0.3781,0.3359,0.038502,36.7
159,12.085,34.7,23.1,1,859,678,214347.88,0.8873,0.3776,0.369,0.3496,0.038556,35.8
160,12.127,33.5,23.6,1,855,680,209423.77,0.8977,0.3919,0.3831,0.3286,0.038528,36.1
161,12.169,34.6,23.5,1,851,684,208987.88,0.8986,0.3932,0.3963,0.3223,0.038542,35.7
162,12.211,31.6,23.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
163,12.249,34.6,26.4,1,853,719,201034.39,0.9162,0.4163,0.5043,0.3347,0.038451,37.2
164,12.293,34.1,22.9,1,856,731,205826.84,0.9055,0.4023,0.5154,0.3431,0.037929,35.4
165,12.335,34.2,24.0,1,869,738,213756.83,0.8885,0.3793,0.5168,0.3817,0.037907,36.1
166,12.377,30.7,23.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
167,12.413,30.5,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
168,12.45,31.4,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
169,12.488,33.8,26.5,1,908,697,227106.3,0.862,0.3406,0.386,0.4388,0.037972,35.4
170,12.529,33.5,24.2,1,921,653,215137.56,0.8857,0.3753,0.2101,0.464,0.037889,34.6
171,12.57,30.3,24.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
172,12.606,30.7,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
