Time_Sec,GPU_Util_%,CPU_Util_%,RAM_Usage_%,Power_TOT_mW
1.0,0.0,15.5,0.6332965255317525,5254
2.0,21.2,22.0,0.633559513091343,5493
3.0,0.0,48.8,0.6376967309025545,6597
4.0,0.0,27.8,0.6452533098265327,6001
5.0,0.0,28.8,0.6516439598083903,5961
6.0,0.0,28.8,0.655257816690874,5961
7.0,0.0,29.0,0.6598948677167347,5961
8.0,0.0,24.5,0.6630073228702975,5683
9.0,60.5,29.3,0.6765028196658228,6200
10.0,4.7,30.3,0.7137053640051071,6398
11.0,3.5,30.5,0.758582125838763,6478
12.1,6.7,36.7,0.78969778912685,6875
13.1,3.6,45.5,0.8269991498652646,7074
14.1,70.8,49.7,0.855174894569699,7312
15.2,63.5,32.7,0.8550274542281393,7233
16.2,11.1,34.2,0.8563758536638925,7233
17.2,20.1,32.2,0.8566414554139361,7273
18.2,60.0,32.5,0.8559356239915761,7352
19.2,51.9,33.0,0.8563209556643756,7273
20.2,14.0,30.0,0.8566451152805706,7153
21.2,97.9,31.8,0.8568798695832667,7273
22.2,0.0,34.7,0.8567313835655257,7432
23.2,38.2,59.8,0.8568051037363056,7789
24.2,97.9,30.7,0.8568845751260824,7312
25.2,0.0,31.8,0.8570722740006211,7233
26.2,0.0,37.2,0.8386343887343031,7352
27.2,13.1,31.8,0.8382882699183013,7193
28.2,49.5,31.5,0.8384372787741329,7233
29.2,0.0,31.8,0.838389700507885,7312
30.2,46.6,30.8,0.8385794907347862,7153
31.2,0.0,32.0,0.8337536951582056,7273
32.2,23.5,29.7,0.8337845426055531,7233
33.2,16.4,31.3,0.833816435729082,7193
34.2,62.9,31.3,0.833917343480575,7233
35.2,42.7,29.8,0.8338080703196319,7193
36.2,66.8,30.8,0.8339016583378559,7273
37.2,0.0,32.2,0.8318348793655673,7273
38.2,0.0,30.8,0.8319326500885165,7312
39.2,97.9,31.3,0.8318631126224617,7273
40.2,25.6,31.3,0.8319169649457974,7273
41.2,0.0,31.8,0.832294976885328,7352
42.2,0.0,31.2,0.8322332819906328,7352
43.2,0.0,32.3,0.8323279156850382,7352
44.2,0.0,30.5,0.8323300070374007,7312
45.2,97.8,31.3,0.832596131625535,7193
46.2,50.7,30.3,0.8325705125590938,7273
47.2,5.9,32.2,0.8324497369601566,7312
48.2,0.0,29.5,0.8325527360640121,7153
49.2,86.3,32.2,0.8326991307293905,7273
50.2,83.0,31.3,0.8326949480246654,7233
51.2,95.1,31.5,0.8326280247490638,7273
52.2,5.9,31.0,0.8330693000975616,7273
53.2,6.9,31.7,0.8330536149548424,7273
54.2,0.0,29.7,0.8330865537545527,7312
55.2,0.0,32.0,0.8331979182678583,7273
56.2,16.5,32.3,0.8333244450857925,7193
57.2,13.8,30.7,0.8333615665902278,7233
58.2,96.2,31.7,0.8333364703618772,7273
59.2,5.9,30.2,0.8334880934081619,7352
60.3,0.0,30.3,0.8334640428559926,7273
61.3,52.9,30.5,0.8336271683402714,7233
62.3,96.0,30.7,0.8335665191217575,7233
63.3,89.2,32.8,0.8337929080150034,7273
64.3,49.9,29.7,0.8337960450435472,7312
65.3,70.6,31.5,0.8337102995966827,7273
66.3,96.3,30.3,0.8338049332910881,7273
67.3,75.4,31.5,0.833969104451548,7312
68.3,98.0,31.5,0.8340307993462432,7273
69.3,5.9,31.5,0.8341379811548238,7312
70.3,0.0,29.8,0.8346681389787299,7273
71.3,0.0,31.8,0.8355015428952055,7352
72.3,97.7,30.7,0.836035360585746,7273
73.3,95.8,30.8,0.8369722864441677,7312
74.3,0.0,30.5,0.8377439954659481,7352
75.3,0.0,32.2,0.8384843342022903,7392
76.3,0.0,30.3,0.8390605017781724,7273
77.3,68.6,29.7,0.8407984155914502,7273
78.3,0.0,33.2,0.8404177894614663,6716
79.3,0.2,29.5,0.6174174098810125,6359
80.3,0.0,17.7,0.6104401355614602,5493
81.3,0.0,12.7,0.611196682278612,5294
82.3,0.0,13.5,0.6118554582728148,5254
83.3,21.4,12.5,0.6128148661691339,5254
84.3,0.0,13.2,0.6134736421633367,5214
85.3,0.0,12.3,0.614033601758409,5214
86.3,0.0,15.5,0.6147948540183767,5214
87.3,24.7,21.2,0.6153307630612798,5453
