Time_Sec,Distance_Est,BB_Area,v_x,v_z,omega_z
9.801730155944824,1.0049498437024575,167091.75,0.6435376,0.35535010990144356,-0.278125
9.858795166015625,1.0342927662820092,157745.4375,0.6634764,0.3263107083791467,-0.28125
9.91458797454834,1.0348153433939271,157586.15625,0.6638162,0.3013568710383151,-0.2875
9.967210292816162,1.0751146554259652,145993.734375,0.6885467,0.27211610294927574,-0.2875
10.025389194488525,1.0604435209977499,150061.296875,0.6798692333333334,0.2720631664214993,-0.28125
10.082686185836792,1.0494062761503082,153234.46875,0.6730998,0.27197296793187614,-0.278125
10.14432692527771,1.0258950139989522,160338.546875,0.6579444333333333,0.27186638191528584,-0.275
10.20726728439331,1.010498267807237,165261.859375,0.6474413666666666,0.26875434096818934,-0.275
10.251211643218994,0.9784466146051118,176266.390625,0.6239650333333333,0.33848095740834555,-0.271875
10.317768573760986,0.9857247018451291,173673.078125,0.6294974333333333,0.34889762407501224,-0.2609375
10.376349925994873,1.0002361021085122,168670.34375,0.6401699333333334,0.3530642907416789,-0.2484375
10.436216115951538,1.0068470948997261,166462.625,0.6448797333333334,0.40279827238006827,-0.234375
10.497687101364136,1.020433890086893,162059.328125,0.6542734333333333,0.3965482723800682,-0.21875
10.547843933105469,1.069390906493323,147560.734375,0.6852037666666667,0.37779827238006825,-0.1984375
10.603488445281982,1.077886130568249,145243.9375,0.6901462666666667,0.3652982723800682,-0.184375
10.658876895904541,1.093513791895378,141122.171875,0.6989393666666667,0.3418115937076014,-0.16875
10.715869665145874,1.1057476923235157,138016.71875,0.7055643333333333,0.33764492704093474,-0.159375
10.766160488128662,1.0884795453276914,142430.578125,0.6961481,0.3293115937076014,-0.1515625
10.824707984924316,1.0703490962134723,147296.65625,0.6857671333333333,0.31472826037426804,-0.1421875
10.879469156265259,1.0716938507675609,146927.234375,0.6865552333333333,0.2813949270409347,-0.121875
10.931994676589966,1.0979492209020012,139984.28125,0.7013668666666667,0.24275595281836365,-0.125
10.99238109588623,1.083144722942989,143837.0625,0.6931476,0.232339286151697,-0.1296875
11.04820442199707,1.0698907987679558,147422.875,0.6854978666666667,0.232339286151697,-0.1265625
11.098050117492676,1.057499008925612,150898.125,0.678084,0.23442261948503032,-0.125
11.153843641281128,1.0529305836869722,152210.390625,0.6752845,0.20690986870801162,-0.1234375
11.216297626495361,1.048109899724523,153613.765625,0.6722906333333334,0.2110765353746783,-0.1203125
11.267446756362915,1.0462006324301842,154174.953125,0.6710934333333334,0.21315986870801162,-0.115625
11.325271606445312,1.0440707401102,154804.625,0.6697501333333333,0.21524320204134495,-0.1109375
11.380757331848145,1.0487138322040708,153436.890625,0.6726679666666666,0.21940986870801163,-0.10625
11.432206153869629,1.0643098056442335,148973.03125,0.6821908666666666,0.19555835042106706,-0.0890625
11.492958784103394,1.0617838793598118,149682.671875,0.6806769666666667,0.18722501708773376,-0.0671875
11.547524213790894,1.0580006590006024,150755.0625,0.6783892,0.18305835042106705,-0.0578125
11.597761631011963,1.0583100257407179,150666.9375,0.6785772,0.18722501708773376,-0.0484375
11.653684854507446,1.0602824030254059,150106.90625,0.6797719333333333,0.17538064172111342,-0.0328125
